|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   2    |   2    |   0    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   231    |   199    |   32    |
|   10    |   3    |   7    |
|   363    |   325    |   39    |
|   1    |   0    |   0    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   7    |   7    |   0    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   740    |   655    |   84    |
|   11    |   3    |   9    |
|   362    |   325    |   36    |
|   4    |   2    |   3    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   14    |   13    |   1    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   1500    |   1307    |   193    |
|   13    |   2    |   9    |
|   363    |   327    |   36    |
|   1    |   1    |   0    |

