|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   1    |   0    |   1    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   3    |   1    |   1    |
|   0    |   0    |   0    |
|   4    |   3    |   1    |
|   0    |   0    |   0    |
|   247    |   201    |   38    |
|   12    |   3    |   8    |
|   359    |   323    |   36    |
|   0    |   1    |   0    |
|   0    |   0    |   0    |
|   3    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   7    |   6    |   1    |
|   0    |   0    |   0    |
|   4    |   3    |   1    |
|   0    |   0    |   0    |
|   746    |   656    |   90    |
|   11    |   3    |   9    |
|   359    |   324    |   34    |
|   4    |   1    |   3    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   14    |   14    |   0    |
|   0    |   1    |   0    |
|   4    |   3    |   0    |
|   0    |   0    |   0    |
|   1509    |   1314    |   195    |
|   27    |   2    |   14    |
|   451    |   326    |   59    |
|   1    |   1    |   0    |
|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   1    |   0    |   1    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   3    |   2    |   0    |
|   0    |   0    |   0    |
|   4    |   3    |   1    |
|   0    |   0    |   0    |
|   247    |   197    |   35    |
|   12    |   1    |   10    |
|   364    |   327    |   39    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   1    |   0    |   0    |
|   0    |   0    |   0    |
|   7    |   6    |   1    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   739    |   647    |   92    |
|   11    |   5    |   7    |
|   363    |   327    |   35    |
|   4    |   1    |   3    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   15    |   13    |   2    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   1497    |   1295    |   203    |
|   18    |   3    |   8    |
|   365    |   330    |   36    |
|   1    |   1    |   0    |
