|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   6    |   5    |   1    |
|   1    |   0    |   0    |
|   3    |   3    |   0    |
|   0    |   0    |   0    |
|   268    |   206    |   42    |
|   11    |   2    |   9    |
|   366    |   327    |   39    |
|   1    |   1    |   0    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   7    |   7    |   1    |
|   0    |   0    |   0    |
|   4    |   3    |   0    |
|   0    |   0    |   0    |
|   760    |   669    |   91    |
|   10    |   2    |   8    |
|   365    |   327    |   38    |
|   5    |   2    |   3    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   14    |   13    |   1    |
|   1    |   0    |   0    |
|   3    |   3    |   1    |
|   0    |   1    |   0    |
|   1545    |   1353    |   191    |
|   22    |   3    |   9    |
|   447    |   335    |   55    |
|   1    |   1    |   0    |
|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   1    |   0    |   0    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   3    |   2    |   1    |
|   0    |   0    |   0    |
|   4    |   4    |   0    |
|   0    |   0    |   0    |
|   236    |   205    |   31    |
|   12    |   3    |   8    |
|   367    |   326    |   41    |
|   0    |   1    |   0    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   8    |   7    |   1    |
|   0    |   0    |   0    |
|   3    |   4    |   0    |
|   1    |   0    |   0    |
|   760    |   666    |   93    |
|   11    |   2    |   11    |
|   366    |   328    |   37    |
|   4    |   1    |   3    |
|   0    |   0    |   0    |
|   2    |   0    |   2    |
|   0    |   0    |   0    |
|   0    |   0    |   0    |
|   15    |   14    |   1    |
|   0    |   0    |   0    |
|   4    |   3    |   0    |
|   0    |   1    |   0    |
|   1544    |   1344    |   200    |
|   15    |   3    |   8    |
|   366    |   329    |   37    |
|   1    |   1    |   0    |
|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   1    |   0    |   1    |
|   0    |   0    |   0    |
